Title,Company,Pay,Description,Type
Software Engineer (Front-end),NodeFlair,NA,"Job Summary

Salary
S$5,000 - S$6,500 / Monthly

Job Type

Seniority
Junior

Years of Experience
At least 2 years

Tech Stacks
SCSS Git Angular JavaScript CSS

Job Description
WHO WE ARE
Digify is a cloud-based document security and data room software that allows customers to control, protect and track important documents after sharing them. Companies use Digify to protect confidential information for fundraising and due diligence, secure intellectual property, and protect sensitive communications.
Digify is used in 138 countries today. We have more than 500,000 users worldwide.

WHAT YOU'LL BE DOING:
Design, program, and test software.
Maintain existing software systems by identifying and fixing software bugs.
Create technical specifications and test plans.
Create, maintain, and extend operational documentation.
Consult with management and colleagues regarding business requirements.
Design and maintain the application and operational architecture of the product.
Learn to be a subject matter expert who provides technical suggestions to the technical manager.
Explore and develop skills in new software technologies.
Work in a small, experienced and dynamic team on a fast-paced, agile development schedule.
REQUIREMENTS
A degree in Computer Science or Computer Engineering.
2-5 years of experience as a frontend developer in a software company.
Proficient understanding of web markup, including HTML5 and CSS3.
Strong expertise in client-side scripting and JavaScript frameworks, especially Angular.
Good understanding of server-side CSS pre-processing platforms, such as SCSS.
Familiarity with front-end build tools
Proficient understanding of code versioning tools, such as Git.
Experience with responsive and adaptive design.
Strong troubleshooting and problem solving skills.
Ability to develop solutions independently.
Ability to quickly adapt to new designs and requirements.
Passionate about sofware development. Desire to learn and develop your professional skills.
This job is based in Singapore.
BENEFITS
Group health insurance.
Paid annual leave (15 days)
Birthday leave (1 day).
Self-development benefits
Performance bonus","$5,000 - $6,500 a month"
Software Developer – Front-End,NodeFlair,"$3,000 - $6,000 a month","Job Summary

Salary
S$3,000 - S$6,000 / Monthly

Job Type

Seniority
Junior

Years of Experience
At least 1 year

Tech Stacks
Less HTML JavaScript CSS

Job Description
As a Front-End Developer, you are entrusted with the mission of transforming our designs into interactive HTML. You will have to be brave enough to forge new routes in HTML with your CSS and Javascript techniques. Xtremax believes in grooming new talents, so we welcome less experienced front-end developers to join our ship. As long as you are creative and able to collaborate with fellow sailors on deck, we would love for you to join our team.
Responsibilities:
Modify templates for CMS or web development framework beautifully.
Construct visual graphic designs based on HTML, CSS, and live interaction with Javascript.
Seeing the web as dynamically functional, meanwhile maintaining the aspects of design.
Develop test plans and test cases for all devices, complete with functional documentations based on the project methodology.
Requirements:
Experience in HTML syntax for various specifications
Understanding of markups used for layout also has the ability to hand-code markups
Experience in organizing CSS Files and specifying various CSS for different media and devices
Understanding of CSS basics and essentials, also familiar with the development and debugging tools for cross-browser and multiple-devices issues
Good written also verbal communication skills & fresh graduates are welcome to apply","$3,000 - $6,000 a month - Fresh graduate"
Software Engineering Internship (min 5 months),NCS,NA,NA,NA
Software Testing Engineer -,ABSOLUT POH TEO INVESTMENT HOLDING LLP,"$3,000 - $5,000 a month","Email: hr_admin@acpcomputer.edu.sg

Requirements for Test Engineer:
(a) Responsibilities:
The candidate is responsible for the end-to-end testing activities of an integrated e-payment system. The primary responsibilities would include carrying out the activities in the testing lifecycle including test planning, and analyzing business and system requirements.
The candidate will also be responsible:
Preparing the test environment, designing, and developing the test cases.
Preparing the test environment, and executing the test procedures.
Automating the test solution based on the system design using scripting or programming languages as well as performance tuning.
Create traceability to requirements, analyze gaps, and address them.
Logging and tracking defects to closure
Conducting test reviews with internal and external stakeholders.
Perform root cause analysis for production and user acceptance defects, and address test gaps to ensure test efficiency.
Develop design documents and user manuals that would effectively describe and provide clear instructions on the test automation solution to the end users include testers and stakeholders.
(b) Qualifications & Requirements:
Tertiary qualification in Information Technology or Engineering
At least 3 years relevant experience in executing testing and developing test automation solutions involving devices (UI-based or embedded) and/or back-office systems with familiarity with the full system development lifecycle from requirement, and development, to testing and deployment;
Good written and verbal communication skills;
Able to work well both independently as well as in a team;
Certification in software testing preferred;
Experience in Micro-payments/Automatic Fare Collection systems using Smart Cards and in diverse test execution phases (System Integration Testing, User Acceptance Testing, and Performance testing) would be an advantage;","$3,000 - $5,000 a month - Full-time"
Developer (Full Stack),NodeFlair,NA,"Job Summary

Salary
S$4,500 - S$6,500 / Monthly

Job Type

Seniority
Junior

Years of Experience
At least 1 year

Tech Stacks
MariaDB Docker CI HTML JavaScript jQuery Node.js PHP MySQL React CSS Vue.js

Job Description
Responsibilities:-
We are looking for Software Engineers & Developers to enhance our in-house product offerings and build the next generation Med-Tech applications.
You will work with a team of Developers, Designers and Product Managers throughout the software development cycle.

Requirements:-
Self-Taught, Fresh-Grads and Experienced Professionals all welcome. As long as you can show a good portfolio of work/personal projects we are chill.
Javascript nerds will get an edge.
Passion for leveraging technology to help solve healthcare issues and improve the quality of lives of both medical professionals and patients.
Be able to demonstrate technical abilities in personal/professional projects is critical
Stickler for best practices and keeping your code clean is a plus
Advantageous: Javascript (NodeJS, VueJS, ReactJS jQuery), PHP (Laravel), HTML/CSS Frameworks (Bootstrap), MySQL/MariaDB, cloud services (AWS), serverless concepts, Docker containers, Micro Services, CI/CD, general IT security concepts and data privacy awareness.","$4,500 - $6,500 a month"
Software Engineering Internship – Summer 2024,Hudson River Trading,NA,"Please only apply to one job posting. We recommend you apply for the position/office you are most interested in. Upon review of your application, if your skill sets are better suited for another position, we will reach out and let you know. If you are interested in multiple offices, you will have the opportunity to indicate that below in the application questions.
HRT is seeking highly motivated full-time students for our software engineering summer internship program. We are looking for smart programmers who love to code, love to learn, and who can thrive in an entrepreneurial environment. At HRT, our engineers create and maintain critical technology and infrastructure that is integral to the success of our trading.
What to Expect
A hands-on introduction to all technical facets of software engineering in the algorithmic trading industry
Independent programming projects in C, C++, or Python, depending on the needs of the project
As you go through structured and hands-on trainings, you'll transition right into projects within the first week
You'll have an opportunity to learn all about HRT's research and trading infrastructure, even in areas you may not be working in directly
In addition to technical project work and mentorship, you'll also gain a deeper understanding of global financial markets
Requirements
You are a full-time undergraduate student studying Computer Science or a related field who is eligible for full-time roles in 2025
Programming experience in C, C++, or Python is required
A passion for technology and writing code that is elegant, readable, and efficient
Exceptional problem solving skills
Strong communication skills
Knowledge of trading and/or financial markets is not required for this position
Culture
Hudson River Trading (HRT) brings a scientific approach to trading financial products. We have built one of the world's most sophisticated computing environments for research and development. Our researchers are at the forefront of innovation in the world of algorithmic trading.

At HRT we welcome a variety of expertise: mathematics and computer science, physics and engineering, media and tech. We're a community of self-starters who are motivated by the excitement of being at the cutting edge of automation in every part of our organization—from trading, to business operations, to recruiting and beyond. We value openness and transparency, and celebrate great ideas from HRT veterans and new hires alike. At HRT we're friends and colleagues – whether we are sharing a meal, playing the latest board game, or writing elegant code. We embrace a culture of togetherness that extends far beyond the walls of our office.

Feel like you belong at HRT? Our goal is to find the best people and bring them together to do great work in a place where everyone is valued. HRT is proud of our diverse staff; we have offices all over the globe and benefit from our varied and unique perspectives. HRT is an equal opportunity employer; so whoever you are we'd love to get to know you.","Full-time, Internship"
Software Engineer Intern,NodeFlair,NA,"Job Summary

Job Type
Permanent

Seniority
Intern

Years of Experience
Information not provided

Tech Stacks
API JavaScript SQL PostgreSQL React

Job Description
The Mobbin platform serves over 500,000 inspiration-seekers across the world and handles 20 million API requests weekly.

We are hiring a software engineer intern to join one of our cross-functional teams. You will be assigned to a team based on your interest and suitability assessed during the interviews.
The Product Team is responsible for deepening the value for our customers and bringing delight to our users.
The Growth Team is responsible for optimising key metrics for the company, such as acquisition, retention, engagement, and monetisation.
The Machine Learning Team is responsible for the research and development of production-ready ML models for internal and external use.
As a software engineer intern at any teams in Mobbin, you will be responsible for delivering high value features or improvements. No intern works on non-essential projects.

Our Engineering Department, whilst small, provides the technological capability that turn our ideas into software that drives global impact at scale. We take great care to balance the need for stable technologies yet exercise tact in choosing cutting edge technologies that pays forward to our long term goals.

What You'll Do...
Focus 75% on front-end and 25% on back-end.
Design and write high-quality and reliable code, including writing tests and documentation with some supervision.
Collaborate with your fellow team members (for example, product designers, engineers, etc).
Harness data across our data stack to derive insights.
Clearly propose and articulate your technical decisions and the trade-offs incurred.
Identify areas of codebase that can use improvements and execute on suggestions for better developer experience, performance, or otherwise.
You should...
Have a strong interest and moderate experience in web development.
Have moderate experience in React, JavaScript and any strongly-typed language(s).
Be moderately proficient in Postgres, SQL, and/or relational databases.
Have strong computer science fundamentals.
Be deeply curious about how things work and why things are the way they are.
Be able to communicate effectively and have good written communication skills.
Have a strong desire to make foundational codebase improvements.
[Bonus] Have a strong visual taste and hold a high bar for aesthetics.
What We Offer...
Competitive salary
Medical claims
Flexible work hours
Remote work options - you will choose your work schedule and location
Possibility of extension or part-time work arrangements post-internship
Possibility of full-time offer following the internship","Part-time, Internship"
Software Engineer (Front-end),DIGIFY PTE. LTD.,"$5,000 - $6,500 a month","WHO WE ARE
Digify is a cloud-based document security and data room software that allows customers to control, protect and track important documents after sharing them. Companies use Digify to protect confidential information for fundraising and due diligence, secure intellectual property, and protect sensitive communications.
Digify is used in 138 countries today. We have more than 500,000 users worldwide.

WHAT YOU'LL BE DOING:
Design, program, and test software.
Maintain existing software systems by identifying and fixing software bugs.
Create technical specifications and test plans.
Create, maintain, and extend operational documentation.
Consult with management and colleagues regarding business requirements.
Design and maintain the application and operational architecture of the product.
Learn to be a subject matter expert who provides technical suggestions to the technical manager.
Explore and develop skills in new software technologies.
Work in a small, experienced and dynamic team on a fast-paced, agile development schedule.
REQUIREMENTS
A degree in Computer Science or Computer Engineering.
2-5 years of experience as a frontend developer in a software company.
Proficient understanding of web markup, including HTML5 and CSS3.
Strong expertise in client-side scripting and JavaScript frameworks, especially Angular.
Good understanding of server-side CSS pre-processing platforms, such as SCSS.
Familiarity with front-end build tools
Proficient understanding of code versioning tools, such as Git.
Experience with responsive and adaptive design.
Strong troubleshooting and problem solving skills.
Ability to develop solutions independently.
Ability to quickly adapt to new designs and requirements.
Passionate about sofware development. Desire to learn and develop your professional skills.
This job is based in Singapore.
BENEFITS
Group health insurance.
Paid annual leave (15 days)
Birthday leave (1 day).
Self-development benefits
Performance bonus","$5,000 - $6,500 a month - Full-time"
Software Engineer Intern,Archisen,NA,"Do drop us an email to hrs@archisen.com with your CV if you are interested in this position. Please indicate your available start date.

This is an opportunity to be part of a unique software development team. We have a solid technology roadmap and a team of exceptional individuals. You will be given the opportunity to experiment while applying knowledge and skills taught in school in our lab and farms, while working directly with the managers, founders and collaborators.
What we Expect from you?
Assist in the development of websites/mobile applications
Designing page wireframes/layouts and custom graphics, formatting content, quality assurance testing, translating wireframes to web-apps to be used by our own staff
Improving current IoT infrastructure for our indoor farm
Working with external collaborators to integrate modules into our web-apps
Developing APIs for IoT components to interact with
Requirements
Diploma in relevant computing programmes
Must be able to work in a team environment
Must demonstrate good communications skills
Demonstrated skills in software design & development
Comfortable with Unix command line (eg Linux)
Some experience in NodeJS, MySQL, MongoDB, HTML
Working knowledge of JQuery, Bootstrap
Bonus Requirements
Working knowledge in Angular or React
Knowledge of Python, NoSQL, Git and Amazon Web Services S3, EC2
Basic Photoshop/ GIMP photo manipulation skills
Basic knowledge of Machine/Deep Learning (Tensorflow, Keras, etc)
Basic knowledge of Embedded Systems Programming
Basic knowledge of Networking (Port Forwarding, Static IPs, etc)
Basic understanding of Version Control, Git is preferred",Internship
Software Engineer (Fresh Graduate),NodeFlair,NA,"Job Summary

Job Type
Permanent

Seniority

Years of Experience
Information not provided

Tech Stacks
Ember HTML Angular JavaScript React CSS

Job Description
You are someone who wants to see the impact of your work making a difference every day. You find passion in the craft and are constantly seeking improvement and better ways to solve tough problems.

Job Responsibilities
Design, develop, implement, and maintain new and existing web applications and APIs.
Collaborate with product, data and design to define the future of the ShopBack experience
Coordinate across our engineering hubs to improve engineering efficiency and service quality
Build great products that impacts consumer purchasing behaviour
Job Requirements
Pursuing Bachelor’s degree in Computer Science or related major
Good knowledge on data structure and algorithms and an ability to use them practically when implementing solutions
Constantly curious, always looking to learn new technologies
Strong knowledge of HTML, CSS, and JavaScript
Experience with client-side frameworks eg. Angular, Ember, Vue, React etc.
Strong analytical, problem-solving, communication, and decision-making skills
Excellent communication ability and desire to thrive in a high-growth startup environment",Permanent
